,Training Year,Test Year,MAPE,Variables,No. of Variables,Alpha
20,2015,2014,3.4454209227649115,"['Temperature' 'Temperature-12hrs' 'Temperature-18hrs' 'Temperature-24hrs'
 'Temperature-36hrs' 'Temperature-48hrs' 'Temperature-72hrs'
 'Temperature-96hrs' 'Wind speed' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Binary indicator sunny day' 'Weekday' 'Yearly cycle (sine wave)'
 'Holiday_Alternate' 'Quarter' 'Hour' 'Day' 'Dayofweek' 'Dayofyear'
 'Temperature Difference' 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",30,0.55
21,2015,2015,3.4308658071403615,"['Temperature' 'Temperature-12hrs' 'Temperature-18hrs' 'Temperature-24hrs'
 'Temperature-36hrs' 'Temperature-48hrs' 'Temperature-72hrs'
 'Temperature-96hrs' 'Wind speed' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Binary indicator sunny day' 'Weekday' 'Yearly cycle (sine wave)'
 'Holiday_Alternate' 'Quarter' 'Hour' 'Day' 'Dayofweek' 'Dayofyear'
 'Temperature Difference' 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",30,0.55
22,2015,2016,3.899105586094522,"['Temperature' 'Temperature-12hrs' 'Temperature-18hrs' 'Temperature-24hrs'
 'Temperature-36hrs' 'Temperature-48hrs' 'Temperature-72hrs'
 'Temperature-96hrs' 'Wind speed' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Binary indicator sunny day' 'Weekday' 'Yearly cycle (sine wave)'
 'Holiday_Alternate' 'Quarter' 'Hour' 'Day' 'Dayofweek' 'Dayofyear'
 'Temperature Difference' 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",30,0.55
23,2015,2017,5.464963006691678,"['Temperature' 'Temperature-12hrs' 'Temperature-18hrs' 'Temperature-24hrs'
 'Temperature-36hrs' 'Temperature-48hrs' 'Temperature-72hrs'
 'Temperature-96hrs' 'Wind speed' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Binary indicator sunny day' 'Weekday' 'Yearly cycle (sine wave)'
 'Holiday_Alternate' 'Quarter' 'Hour' 'Day' 'Dayofweek' 'Dayofyear'
 'Temperature Difference' 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",30,0.55
24,2016,2012,4.2029288268109415,"['Temperature' 'Temperature-6hrs' 'Temperature-18hrs' 'Temperature-36hrs'
 'Temperature-48hrs' 'Temperature-72hrs' 'Temperature-96hrs'
 'Temperature over 6hrs' 'Temperature over 48hrs' 'Wind speed'
 'Wind speed^2' 'Wind speed^3' 'Wind direction' 'Cloud height'
 'Sun duration' 'Visibility' 'Humidity'
 'Sun duration*potential solar irradiance' 'Binary indicator sunny day'
 'Binary indicator windy day' 'Weekday' 'Yearly cycle (sine wave)'
 'Yearly cycle (cosine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Quarter' 'Hour'
 'Minute' 'Day' 'Dayofweek' 'Dayofyear' 'Temperature Difference'
 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",38,0.1
25,2016,2013,3.992132618653148,"['Temperature' 'Temperature-6hrs' 'Temperature-18hrs' 'Temperature-36hrs'
 'Temperature-48hrs' 'Temperature-72hrs' 'Temperature-96hrs'
 'Temperature over 6hrs' 'Temperature over 48hrs' 'Wind speed'
 'Wind speed^2' 'Wind speed^3' 'Wind direction' 'Cloud height'
 'Sun duration' 'Visibility' 'Humidity'
 'Sun duration*potential solar irradiance' 'Binary indicator sunny day'
 'Binary indicator windy day' 'Weekday' 'Yearly cycle (sine wave)'
 'Yearly cycle (cosine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Quarter' 'Hour'
 'Minute' 'Day' 'Dayofweek' 'Dayofyear' 'Temperature Difference'
 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",38,0.1
26,2016,2014,3.684722788648798,"['Temperature' 'Temperature-6hrs' 'Temperature-18hrs' 'Temperature-36hrs'
 'Temperature-48hrs' 'Temperature-72hrs' 'Temperature-96hrs'
 'Temperature over 6hrs' 'Temperature over 48hrs' 'Wind speed'
 'Wind speed^2' 'Wind speed^3' 'Wind direction' 'Cloud height'
 'Sun duration' 'Visibility' 'Humidity'
 'Sun duration*potential solar irradiance' 'Binary indicator sunny day'
 'Binary indicator windy day' 'Weekday' 'Yearly cycle (sine wave)'
 'Yearly cycle (cosine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Quarter' 'Hour'
 'Minute' 'Day' 'Dayofweek' 'Dayofyear' 'Temperature Difference'
 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",38,0.1
27,2016,2015,3.927775567112334,"['Temperature' 'Temperature-6hrs' 'Temperature-18hrs' 'Temperature-36hrs'
 'Temperature-48hrs' 'Temperature-72hrs' 'Temperature-96hrs'
 'Temperature over 6hrs' 'Temperature over 48hrs' 'Wind speed'
 'Wind speed^2' 'Wind speed^3' 'Wind direction' 'Cloud height'
 'Sun duration' 'Visibility' 'Humidity'
 'Sun duration*potential solar irradiance' 'Binary indicator sunny day'
 'Binary indicator windy day' 'Weekday' 'Yearly cycle (sine wave)'
 'Yearly cycle (cosine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Quarter' 'Hour'
 'Minute' 'Day' 'Dayofweek' 'Dayofyear' 'Temperature Difference'
 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",38,0.1
28,2016,2016,3.584584676428662,"['Temperature' 'Temperature-6hrs' 'Temperature-18hrs' 'Temperature-36hrs'
 'Temperature-48hrs' 'Temperature-72hrs' 'Temperature-96hrs'
 'Temperature over 6hrs' 'Temperature over 48hrs' 'Wind speed'
 'Wind speed^2' 'Wind speed^3' 'Wind direction' 'Cloud height'
 'Sun duration' 'Visibility' 'Humidity'
 'Sun duration*potential solar irradiance' 'Binary indicator sunny day'
 'Binary indicator windy day' 'Weekday' 'Yearly cycle (sine wave)'
 'Yearly cycle (cosine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Quarter' 'Hour'
 'Minute' 'Day' 'Dayofweek' 'Dayofyear' 'Temperature Difference'
 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",38,0.1
29,2016,2017,4.839715677666563,"['Temperature' 'Temperature-6hrs' 'Temperature-18hrs' 'Temperature-36hrs'
 'Temperature-48hrs' 'Temperature-72hrs' 'Temperature-96hrs'
 'Temperature over 6hrs' 'Temperature over 48hrs' 'Wind speed'
 'Wind speed^2' 'Wind speed^3' 'Wind direction' 'Cloud height'
 'Sun duration' 'Visibility' 'Humidity'
 'Sun duration*potential solar irradiance' 'Binary indicator sunny day'
 'Binary indicator windy day' 'Weekday' 'Yearly cycle (sine wave)'
 'Yearly cycle (cosine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Quarter' 'Hour'
 'Minute' 'Day' 'Dayofweek' 'Dayofyear' 'Temperature Difference'
 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",38,0.1
30,2017,2012,4.817588267565106,"['Temperature' 'Temperature-6hrs' 'Temperature-12hrs' 'Temperature-18hrs'
 'Temperature-24hrs' 'Temperature-36hrs' 'Temperature-48hrs'
 'Temperature-72hrs' 'Temperature-96hrs' 'Temperature over 6hrs'
 'Temperature over 12hrs' 'Temperature over 18hrs'
 'Temperature over 48hrs' 'Wind speed' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Sun duration*potential solar irradiance' 'Binary indicator windy day'
 'Yearly cycle (sine wave)' 'Yearly cycle (cosine wave)'
 'Daily cycle (sine wave)' 'Daily cycle (cosine wave)' 'Holiday_Alternate'
 'Month' 'Week' 'Quarter' 'Hour' 'Minute' 'Day' 'Dayofweek' 'Dayofyear'
 'Temperature Difference' 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",41,0.05
31,2017,2013,4.903145836248586,"['Temperature' 'Temperature-6hrs' 'Temperature-12hrs' 'Temperature-18hrs'
 'Temperature-24hrs' 'Temperature-36hrs' 'Temperature-48hrs'
 'Temperature-72hrs' 'Temperature-96hrs' 'Temperature over 6hrs'
 'Temperature over 12hrs' 'Temperature over 18hrs'
 'Temperature over 48hrs' 'Wind speed' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Sun duration*potential solar irradiance' 'Binary indicator windy day'
 'Yearly cycle (sine wave)' 'Yearly cycle (cosine wave)'
 'Daily cycle (sine wave)' 'Daily cycle (cosine wave)' 'Holiday_Alternate'
 'Month' 'Week' 'Quarter' 'Hour' 'Minute' 'Day' 'Dayofweek' 'Dayofyear'
 'Temperature Difference' 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",41,0.05
32,2017,2014,4.469872399136997,"['Temperature' 'Temperature-6hrs' 'Temperature-12hrs' 'Temperature-18hrs'
 'Temperature-24hrs' 'Temperature-36hrs' 'Temperature-48hrs'
 'Temperature-72hrs' 'Temperature-96hrs' 'Temperature over 6hrs'
 'Temperature over 12hrs' 'Temperature over 18hrs'
 'Temperature over 48hrs' 'Wind speed' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Sun duration*potential solar irradiance' 'Binary indicator windy day'
 'Yearly cycle (sine wave)' 'Yearly cycle (cosine wave)'
 'Daily cycle (sine wave)' 'Daily cycle (cosine wave)' 'Holiday_Alternate'
 'Month' 'Week' 'Quarter' 'Hour' 'Minute' 'Day' 'Dayofweek' 'Dayofyear'
 'Temperature Difference' 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",41,0.05
33,2017,2015,4.914426227246257,"['Temperature' 'Temperature-6hrs' 'Temperature-12hrs' 'Temperature-18hrs'
 'Temperature-24hrs' 'Temperature-36hrs' 'Temperature-48hrs'
 'Temperature-72hrs' 'Temperature-96hrs' 'Temperature over 6hrs'
 'Temperature over 12hrs' 'Temperature over 18hrs'
 'Temperature over 48hrs' 'Wind speed' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Sun duration*potential solar irradiance' 'Binary indicator windy day'
 'Yearly cycle (sine wave)' 'Yearly cycle (cosine wave)'
 'Daily cycle (sine wave)' 'Daily cycle (cosine wave)' 'Holiday_Alternate'
 'Month' 'Week' 'Quarter' 'Hour' 'Minute' 'Day' 'Dayofweek' 'Dayofyear'
 'Temperature Difference' 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",41,0.05
34,2017,2016,4.216258816038582,"['Temperature' 'Temperature-6hrs' 'Temperature-12hrs' 'Temperature-18hrs'
 'Temperature-24hrs' 'Temperature-36hrs' 'Temperature-48hrs'
 'Temperature-72hrs' 'Temperature-96hrs' 'Temperature over 6hrs'
 'Temperature over 12hrs' 'Temperature over 18hrs'
 'Temperature over 48hrs' 'Wind speed' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Sun duration*potential solar irradiance' 'Binary indicator windy day'
 'Yearly cycle (sine wave)' 'Yearly cycle (cosine wave)'
 'Daily cycle (sine wave)' 'Daily cycle (cosine wave)' 'Holiday_Alternate'
 'Month' 'Week' 'Quarter' 'Hour' 'Minute' 'Day' 'Dayofweek' 'Dayofyear'
 'Temperature Difference' 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",41,0.05
35,2017,2017,4.214228225562807,"['Temperature' 'Temperature-6hrs' 'Temperature-12hrs' 'Temperature-18hrs'
 'Temperature-24hrs' 'Temperature-36hrs' 'Temperature-48hrs'
 'Temperature-72hrs' 'Temperature-96hrs' 'Temperature over 6hrs'
 'Temperature over 12hrs' 'Temperature over 18hrs'
 'Temperature over 48hrs' 'Wind speed' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Sun duration*potential solar irradiance' 'Binary indicator windy day'
 'Yearly cycle (sine wave)' 'Yearly cycle (cosine wave)'
 'Daily cycle (sine wave)' 'Daily cycle (cosine wave)' 'Holiday_Alternate'
 'Month' 'Week' 'Quarter' 'Hour' 'Minute' 'Day' 'Dayofweek' 'Dayofyear'
 'Temperature Difference' 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",41,0.05
